customer_id,customer_name,gender,age,email,phone_number,address,city,state,country,loyalty_points
1,Norma Fisher,Female,49,fchen@yahoo.com,-5010819,761 Curry Road Apt. 741,Turnerborough,Maine,Lao People's Democratic Republic,531
2,Jorge Sullivan,Male,44,sherry67@yahoo.com,-5272079,9248 Hughes Mountains Apt. 678,Williamchester,North Dakota,Albania,1511
3,Elizabeth Woods,Female,38,rubenharris@yahoo.com,4532981364,073 Sheila Trail Suite 883,East Henrytown,California,Russian Federation,3057
4,Susan Wagner,Male,35,josephpacheco@yahoo.com,(795)897-296438459,7401 Benson Parkways Apt. 059,South Jesse,Iowa,Venezuela,2585
5,Peter Montgomery,Male,32,michael75@gmail.com,-6304917,4553 Kevin Bridge Singletonshire,Dakotafort,Arkansas,Aruba,2871
6,Theodore Mcgrath,Female,37,stevenanderson@yahoo.com,873.412.24520998,PSC 8179 Box 2060APO AA,East Kaylabury,Kentucky,Saint Pierre and Miquelon,1688
7,Stephanie Collins,Male,22,tylerdavis@hotmail.com,(970)647-54696816,2620 Sanchez Islands New Taraburgh,Connietown,New Mexico,Liberia,3146
8,Stephanie Sutton,Male,60,ldaniel@gmail.com,806.749.7997,PSC 0315 Box 6297 APO,Williamsborough,New Jersey,Tonga,1222
9,Brian Hamilton,Female,69,frank51@gmail.com,001-959-425-49728341,295 Kimberly Trace Apt. 616,Coreyport,Wyoming,Guinea-Bissau,4186
10,Susan Levy,Female,27,umorris@yahoo.com,512-658-7908926,6537 Jeremiah Extensions Suite 823,Rollinsfort,Georgia,Iraq,900
11,Sean Green,Female,61,melissa03@hotmail.com,8952055131,98813 David Club Teresaton,South Thomasshire,Rhode Island,Myanmar,4680
12,Kimberly Smith,Female,44,danielle28@gmail.com,(494)832-81583386,3699 Laura Crest Apt. 940,Port Brian,Nebraska,Monaco,2446
13,Jennifer Summers,Male,33,fbenjamin@hotmail.com,001-204-541-074450609,8279 Noble Vista Annettefurt,South Katherine,Nevada,Philippines,377
14,April Snyder,Male,65,peggy10@yahoo.com,-8666127,2208 Kaitlyn Well Apt. 103,Simpsontown,New Hampshire,Venezuela,2608
